"시점",청년 일반가구(18~39세),100만원 미만,100~200만원 미만,200~300만원 미만,300~400만원 미만,400~500만원 미만,500~600만원 미만,600~700만원 미만,700만원 이상
"2015",100.0,13.0,19.0,28.1,18.4,9.7,5.8,3.2,2.8
"2016",100.0,10.6,20.1,26.3,20.5,11.2,5.0,3.1,3.1
"2017",100.0,6.7,12.2,25.6,25.2,13.9,7.4,5.3,3.6
"2018",100.0,10.2,15.7,26.6,20.9,13.3,5.8,4.2,3.3
"2019",100.0,15.1,15.4,24.9,19.6,10.5,7.7,3.3,3.4
"2020",100.0,16.0,21.0,27.8,16.1,8.7,5.4,2.1,3.0
"2021",100.0,11.9,16.4,27.1,19.4,10.2,6.2,3.7,5.1
"2022",100.0,9.2,9.4,21.1,23.8,15.3,8.4,6.1,6.7
"2023",100.0,10.3,13.4,23.3,19.9,14.1,7.8,5.1,6.1
